crop_id,crop_name,observation_id,action_id,tag,action_title,action_desc,farm_id,expected_value_min,expected_value_max,observation_value,status,company_id,action_date,obs_date,farm_name,state,district,plan_id,pnd_class
819,POTATO (RA),47,5596,Growth,ATL001,Weed growth,31,30.00,50.00,50,CMPL,2000,2022-10-28,2022-10-29,Mangey Ram,HARYANA,SONIPAT,173,NONE
811,CABBAGE (RA),268,8241,Growth,ATL001,Weed growth,13,30.00,50.00,5,CMPL,2000,2022-11-26,2022-12-01,Manoj Kumar Chauhan Farm,DELHI,NORTH DELHI,242,NONE
811,CABBAGE (RA),164,8384,Growth,ATL001,Weed growth,14,30.00,50.00,35,CMPL,2000,2022-11-11,2022-11-14,Satish Kumar Farm,DELHI,NORTH DELHI,245,NONE
811,CABBAGE (RA),303,8385,Growth,ATL001,Weed growth,14,30.00,50.00,6,CMPL,2000,2022-12-06,2022-12-06,Satish Kumar Farm,DELHI,NORTH DELHI,245,NONE
811,CABBAGE (RA),177,8687,Growth,ATL001,Weed growth,29,30.00,50.00,20,CMPL,2000,2022-11-16,2022-11-16,Surender Singh,HARYANA,SONIPAT,249,NONE
819,POTATO (RA),271,8805,Growth,ATL001,Weed growth,31,30.00,50.00,5,CMPL,2000,2022-12-01,2022-12-01,Mangey Ram,HARYANA,SONIPAT,252,NONE
819,POTATO (RA),279,8827,Growth,ATL001,Weed growth,35,30.00,50.00,20,CMPL,2000,2022-11-24,2022-12-01,Shobit Mange Ram,HARYANA,SONIPAT,253,NONE
811,CABBAGE (RA),891,14151,Growth,ATL001,Weed growth,62,30.00,50.00,46,CMPL,1000,2023-01-17,2023-01-18,Exotic crops,UTTAR PRADESH,PRATAPGARH,386,NONE
817,CHILLI - GREEN,1156,17060,Growth,ATL001,Weed growth,106,30.00,50.00,4,CMPL,2000,2023-02-28,2023-03-21,Durvesh  Dashrath Kanade,MAHARASHTRA,PUNE,452,NONE
817,CHILLI - GREEN,1335,17062,Growth,ATL001,Weed growth,106,30.00,50.00,15,CMPL,2000,2023-03-30,2023-03-31,Durvesh  Dashrath Kanade,MAHARASHTRA,PUNE,452,NONE
807,BOTTLEGOURD (RA),1393,17194,Growth,ATL001,Weed growth,25,30.00,50.00,24,CMPL,2000,2023-03-12,2023-04-04,Demo Delhi UFCo,DELHI,NORTH DELHI,434,NONE
807,BOTTLEGOURD (RA),1398,17254,Growth,ATL001,Weed growth,25,30.00,50.00,25,CMPL,2000,2023-03-13,2023-04-04,Demo Delhi UFCo,DELHI,NORTH DELHI,458,NONE
807,BOTTLEGOURD (RA),1403,17314,Growth,ATL001,Weed growth,25,30.00,50.00,26,CMPL,2000,2023-03-14,2023-04-04,Demo Delhi UFCo,DELHI,NORTH DELHI,459,NONE
807,BOTTLEGOURD (RA),1408,17374,Growth,ATL001,Weed growth,25,30.00,50.00,24,CMPL,2000,2023-03-15,2023-04-04,Demo Delhi UFCo,DELHI,NORTH DELHI,460,NONE
801,TOMATO HYBRID (RA),1301,17493,Growth,ATL001,Weed growth,107,30.00,50.00,2,CMPL,2000,2023-03-24,2023-03-28,Jitendra Bhikaji Adasare,MAHARASHTRA,PUNE,453,NONE
824,CORIANDER – Leaf (RA),1134,17473,Growth,ATL001,Weed growth,25,30.00,50.00,5,CMPL,2000,2023-03-02,2023-03-02,Demo Delhi UFCo,DELHI,NORTH DELHI,463,NONE
831,WATERMELON (RA),2069,17957,Growth,ATL001,Weed growth,78,30.00,50.00,20,CMPL,2000,2023-04-05,2023-04-15,Ram kumar boran,RAJASTHAN,JHUNJHUNU,468,NONE
801,TOMATO HYBRID (RA),2102,18104,Growth,ATL001,Weed growth,108,30.00,50.00,6,CMPL,2000,2023-04-13,2023-04-15,Vikas Adasare,MAHARASHTRA,PUNE,455,NONE
831,WATERMELON (RA),2855,18188,Growth,ATL001,Weed growth,82,30.00,50.00,20,CMPL,2000,2023-04-12,2023-04-21,Pushpa devi,RAJASTHAN,JHUNJHUNU,473,NONE
842,SPONGE GOURD (RA),1299,18510,Growth,ATL001,Weed growth,24,30.00,50.00,82,CMPL,2000,2023-03-26,2023-03-26,Gurjit Kaur,DELHI,NORTH DELHI,486,NONE
842,SPONGE GOURD (RA),1989,18511,Growth,ATL001,Weed growth,24,30.00,50.00,87,CMPL,2000,2023-04-14,2023-04-15,Gurjit Kaur,DELHI,NORTH DELHI,486,NONE
825,CUCUMBER HYBRID (RA),1598,18727,Growth,ATL001,Weed growth,64,30.00,50.00,21,CMPL,2000,2023-04-05,2023-04-06,Shyam kishor,DELHI,NORTH DELHI,493,NONE
810,SPINACH (RA),1382,19366,Growth,ATL001,Weed growth,19,30.00,50.00,84,CMPL,2000,2023-03-22,2023-04-01,Shrikishan,DELHI,NORTH DELHI,517,NONE
808,CORN SWEET (RA),2342,19547,Growth,ATL001,Weed growth,28,30.00,50.00,57,CMPL,2000,2023-04-21,2023-04-18,Tilak Raj,HARYANA,SONIPAT,528,NONE
808,CORN SWEET (RA),4724,19548,Growth,ATL001,Weed growth,28,30.00,50.00,21,CMPL,2000,2023-05-11,2023-05-13,Tilak Raj,HARYANA,SONIPAT,528,NONE
824,CORIANDER – Leaf (RA),2135,20619,Growth,ATL001,Weed growth,13,30.00,50.00,20,CMPL,2000,2023-04-08,2023-04-17,Manoj Kumar Chauhan Farm,DELHI,NORTH DELHI,544,NONE
825,CUCUMBER HYBRID (RA),2842,21487,Growth,ATL001,Weed growth,17,30.00,50.00,5,CMPL,2000,2023-04-21,2023-04-21,Chanderboss Farm,DELHI,NORTH DELHI,566,NONE
825,CUCUMBER HYBRID (RA),1449,21478,Growth,ATL001,Weed growth,17,30.00,50.00,20,CMPL,2000,2023-04-01,2023-04-04,Chanderboss Farm,DELHI,NORTH DELHI,566,NONE
842,SPONGE GOURD (RA),2117,21525,Growth,ATL001,Weed growth,17,30.00,50.00,10,CMPL,2000,2023-04-08,2023-04-17,Chanderboss Farm,DELHI,NORTH DELHI,567,NONE
842,SPONGE GOURD (RA),1423,21598,Growth,ATL001,Weed growth,17,30.00,50.00,20,CMPL,2000,2023-03-22,2023-04-04,Chanderboss Farm,DELHI,NORTH DELHI,567,NONE
842,SPONGE GOURD (RA),2118,21620,Growth,ATL001,Weed growth,17,30.00,50.00,10,CMPL,2000,2023-04-08,2023-04-17,Chanderboss Farm,DELHI,NORTH DELHI,567,NONE
826,SPRING ONION (RA),1435,21703,Growth,ATL001,Weed growth,17,30.00,50.00,16,CMPL,2000,2023-04-01,2023-04-04,Chanderboss Farm,DELHI,NORTH DELHI,568,NONE
808,CORN SWEET (RA),1528,22268,Growth,ATL001,Weed growth,14,30.00,50.00,22,CMPL,2000,2023-04-02,2023-04-04,Satish Kumar Farm,DELHI,NORTH DELHI,579,NONE
