plan_id,crop_id,total_weightage,cmpl_total_weightage,primary_output,block_area,weight_score,yield_per_acre,stage_0_weight,cmpl_stage_0_weight,stage_1_weight,cmpl_stage_1_weight,stage_2_weight,cmpl_stage_2_weight,stage_3_weight,cmpl_stage_3_weight,stage_4_weight,cmpl_stage_4_weight,stage_5_weight,cmpl_stage_5_weight,stage_6_weight,cmpl_stage_6_weight,stage_7_weight,cmpl_stage_7_weight,stage_8_weight,cmpl_stage_8_weight,stage_9_weight,cmpl_stage_9_weight,seed_type,est_yld_per_acre,range_from,range_to
3580,887,243,167.25,1003,1.75,0.688271,573.1428571,0,0,13.75,8.75,10,7.5,95.5,80.5,85.5,65.5,37,5,1.25,0,0,0,0,0,0,0,Variety,10117.16,8093.73,12140.59
2387,820,312.25,219.75,333.9,0.2,0.703763,1669.5,0,0,11.25,6.25,15,12.5,70.5,53,138,83,77.5,65,0,0,0,0,0,0,0,0,Variety,24281.18,16187.45,32374.9
3203,885,462.25,237.25,131,3.75,0.51325,34.93333333,0,0,13.75,8.75,15,12.5,122.5,105,201.5,86,109.5,25,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
2490,818,253.25,238.25,8527,1,0.940769,8527,0,0,11.25,1.25,12.5,10,89,89,123,123,17.5,15,0,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
1064,301,310.75,234.75,148000,5,0.75543,29600,0,0,0,0,6,6,182,124.5,106.5,88,16.25,16.25,0,0,0,0,0,0,0,0,Variety,40468.63,36421.76,44515.49
2038,860,352.75,169.25,42,0.8,0.479801,52.5,0,0,11.25,6.25,12.5,10,136.5,114,96,34,96.5,5,0,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
978,807,384.25,275.25,1636,1.5,0.71633,1090.666667,0,0,18.75,8.75,12.5,10,115.5,102,147.5,102,90,52.5,0,0,0,0,0,0,0,0,Variety,15175.74,14164.02,16187.45
1400,128,134.75,91,1200,0.25,0.675324,4800,0,0,9.75,6,15,7.5,60.5,35,39.5,37.5,10,5,0,0,0,0,0,0,0,0,Variety,9105.44,6070.29,12140.59
2706,818,307.25,226.25,13910,7,0.736371,1987.142857,0,0,11.25,6.25,12.5,10,71.5,71.5,184.5,128.5,27.5,10,0,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
2932,873,390.75,292.75,6000,2,0.7492,3000,0,0,11.25,6.25,15,12.5,96,69.5,194,144.5,74.5,60,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
688,824,83.25,53.75,100,3,0.645645,33.33333333,0,0,16.25,13.75,7.5,7.5,52,27.5,0,0,7.5,5,0,0,0,0,0,0,0,0,Variety,2630.46,2428.12,2832.8
3015,873,383.25,123.25,6043,0.25,0.321591,24172,0,0,11.25,6.25,15,12.5,93.5,54.5,189,45,74.5,5,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
1821,358,526.75,449.25,6500,1,0.852871,6500,0,0,9.75,7.25,17.5,15,115,115,292,262,92.5,50,0,0,0,0,0,0,0,0,Hybrid,27316.32,24281.18,30351.47
