block_id,plan_id,farming_type,shade,sunlight_summer,sunlight_winter,crop_area,primary_output,yield_perunit_area
9,25,N,0.00,6.00,5.00,0.50,4000.00,8000.0000000000
14,862,N,0.00,6.00,5.00,0.40,629.00,1572.5000000000
14,838,N,0.00,6.00,5.00,0.20,932.00,4660.0000000000
14,946,N,0.00,6.00,5.00,0.20,629.00,3145.0000000000
15,308,N,0.00,6.00,5.00,0.33,774.00,2345.4545454545
17,272,N,0.00,6.00,5.00,0.60,3557.00,5928.3333333333
17,603,N,0.00,6.00,5.00,1.00,2390.00,2390.0000000000
17,604,N,0.00,6.00,5.00,0.50,2584.00,5168.0000000000
17,762,N,0.00,6.00,5.00,0.50,2245.00,4490.0000000000
17,216,N,0.00,6.00,5.00,1.00,9350.00,9350.0000000000
17,217,N,0.00,6.00,5.00,0.20,1137.00,5685.0000000000
18,544,N,0.00,6.00,5.00,0.50,1102.00,2204.0000000000
18,1754,N,0.00,6.00,5.00,0.50,1327.00,2654.0000000000
18,1778,N,0.00,6.00,5.00,0.40,501.00,1252.5000000000
18,2426,N,0.00,6.00,5.00,0.50,4249.00,8498.0000000000
18,545,N,0.00,6.00,5.00,0.50,600.00,1200.0000000000
18,1777,N,0.00,6.00,5.00,0.10,590.00,5900.0000000000
18,243,N,0.00,6.00,5.00,0.50,1990.00,3980.0000000000
18,244,N,0.00,6.00,5.00,0.25,1840.00,7360.0000000000
18,1326,N,0.00,6.00,5.00,0.50,1018.00,2036.0000000000
19,1610,N,10.00,9.70,8.10,0.60,1344.00,2240.0000000000
19,2156,N,10.00,9.70,8.10,2.00,13350.00,6675.0000000000
19,245,N,10.00,9.70,8.10,0.40,4610.00,11525.0000000000
19,246,N,10.00,9.70,8.10,2.00,27600.00,13800.0000000000
19,579,N,10.00,9.70,8.10,0.75,4870.00,6493.3333333333
19,616,N,10.00,9.70,8.10,0.75,4111.00,5481.3333333333
19,1609,N,10.00,9.70,8.10,0.60,2524.00,4206.6666666666
19,3446,N,10.00,9.70,8.10,0.80,692.00,865.0000000000
20,367,N,0.00,6.00,5.00,0.70,1850.00,2642.8571428571
20,951,N,0.00,6.00,5.00,0.50,4531.00,9062.0000000000
20,1317,N,0.00,6.00,5.00,0.60,1690.00,2816.6666666666
20,247,N,0.00,6.00,5.00,0.60,7460.00,12433.3333333333
20,613,N,0.00,6.00,5.00,0.70,3629.00,5184.2857142857
20,614,N,0.00,6.00,5.00,0.80,3252.00,4065.0000000000
21,763,N,0.00,6.00,5.00,0.50,5035.00,10070.0000000000
21,764,N,0.00,6.00,5.00,0.30,2940.00,9800.0000000000
21,872,N,0.00,6.00,5.00,0.50,3647.00,7294.0000000000
22,258,N,0.00,6.00,5.00,0.70,9960.00,14228.5714285714
22,193,N,0.00,6.00,5.00,1.00,11590.00,11590.0000000000
22,366,N,0.00,6.00,5.00,1.00,10000.00,10000.0000000000
22,566,N,0.00,6.00,5.00,0.20,774.00,3870.0000000000
22,567,N,0.00,6.00,5.00,1.00,7494.00,7494.0000000000
22,568,N,0.00,6.00,5.00,0.60,2668.00,4446.6666666666
22,2110,N,0.00,6.00,5.00,1.60,17076.00,10672.5000000000
22,2111,N,0.00,6.00,5.00,0.40,5988.00,14970.0000000000
22,91,N,0.00,6.00,5.00,0.40,2650.00,6625.0000000000
22,259,N,0.00,6.00,5.00,1.00,10300.00,10300.0000000000
23,273,N,0.00,6.00,5.00,0.25,1678.00,6712.0000000000
23,871,N,0.00,6.00,5.00,0.30,1543.50,5145.0000000000
23,184,N,0.00,6.00,5.00,0.25,1700.00,6800.0000000000
23,218,N,0.00,6.00,5.00,0.20,688.00,3440.0000000000
23,870,N,0.00,6.00,5.00,0.50,6434.00,12868.0000000000
23,1073,N,0.00,6.00,5.00,0.30,1193.00,3976.6666666666
24,873,N,0.00,6.00,5.00,0.40,1442.00,3605.0000000000
24,592,N,0.00,6.00,5.00,0.40,1062.00,2655.0000000000
24,594,N,0.00,6.00,5.00,0.50,660.00,1320.0000000000
24,95,N,0.00,6.00,5.00,0.25,1582.00,6328.0000000000
24,97,N,0.00,6.00,5.00,0.25,3000.00,12000.0000000000
24,208,N,0.00,6.00,5.00,1.00,6102.00,6102.0000000000
24,2210,N,0.00,6.00,5.00,0.50,3564.00,7128.0000000000
24,2271,N,0.00,6.00,5.00,0.50,3651.00,7302.0000000000
24,3144,N,0.00,6.00,5.00,0.50,1901.00,3802.0000000000
25,305,N,0.00,6.00,5.00,0.25,2255.00,9020.0000000000
25,520,N,0.00,6.00,5.00,0.40,1601.00,4002.5000000000
25,98,N,0.00,6.00,5.00,0.40,3000.00,7500.0000000000
