plan_id,crop_id,crop_name,modified_by,ABND_act,CMPL_act,PLAN_act,UNPL_act,DEFR_act,user_name,company_id
2,803,LADY FINGER (RA),1,0,0,62,20,0,Sreekala,1000
5,805,BEETROOT (RA),1,0,0,42,14,0,Sreekala,1000
6,801,TOMATO HYBRID (RA),1,0,0,67,26,0,Sreekala,1000
296,172,CORIANDER – Leaf,1,1,21,0,0,0,Sreekala,1000
303,172,CORIANDER – Leaf,1,0,23,0,0,0,Sreekala,1000
304,151,BENGAL GRAM (KABULI),1,0,0,19,13,0,Sreekala,1000
318,810,SPINACH (RA),1,0,0,23,8,0,Sreekala,1000
382,801,TOMATO HYBRID (RA),1,2,24,63,25,0,Sreekala,1000
385,803,LADY FINGER (RA),1,2,13,48,22,0,Sreekala,1000
386,811,CABBAGE (RA),1,5,11,26,12,0,Sreekala,1000
387,819,POTATO (RA),1,0,0,46,18,0,Sreekala,1000
903,803,LADY FINGER (RA),1,0,0,99,4,0,Sreekala,1000
1058,209,SUGARCANE - Early,1,42,11,5,16,0,Sreekala,1000
1061,118,BHENDI,1,0,0,67,14,0,Sreekala,1000
1419,802,AMARANTHUS GRN/RED (RA),1,0,0,20,1,0,Sreekala,1000
1426,355,CUCUMBER (BM1),1,103,0,0,7,0,Sreekala,1000
1427,356,RIDGE GOURD (BM1),1,123,0,0,9,0,Sreekala,1000
1429,358,TOMATO (BM1),1,127,0,0,12,0,Sreekala,1000
1432,352,CAULIFLOWER (BM1),1,97,0,0,12,0,Sreekala,1000
1434,357,BITTERGOURD (BM1),1,176,0,0,8,0,Sreekala,1000
1436,359,BHENDI (BM1),1,62,0,0,11,0,Sreekala,1000
1501,20,SOYBEAN,1,19,0,0,12,0,Sreekala,1000
1579,359,BHENDI (BM1),1,60,0,0,11,0,Sreekala,1000
1617,813,BEANS - FRENCH (Pole Type) (RA),1,0,0,82,4,0,Sreekala,1000
1620,182,TURMERIC,1,0,1,115,3,0,Sreekala,1000
1623,358,TOMATO (BM1),1,6,39,18,4,0,Sreekala,1000
