state,date,temperature_celsius,humidity,precipitation_cm
NORTH DELHI,2024-04-10,28.94,47.10,0.00
NORTH DELHI,2024-04-11,29.06,48.40,0.00
NORTH DELHI,2024-04-12,30.00,50.80,0.00
NORTH DELHI,2024-04-13,28.39,55.10,0.00
NORTH DELHI,2024-04-14,26.28,68.80,0.30
NORTH DELHI,2024-04-15,28.33,63.80,0.00
NORTH DELHI,2024-04-18,26.11,69.00,0.00
NORTH DELHI,2024-04-19,32.00,44.40,0.00
NORTH DELHI,2024-04-20,30.50,47.70,0.00
NORTH DELHI,2024-04-21,29.78,49.00,0.00
NORTH DELHI,2024-04-22,29.94,46.00,0.00
NORTH DELHI,2024-04-23,27.22,62.70,0.00
NORTH DELHI,2024-04-24,28.94,52.40,0.20
NORTH DELHI,2024-04-25,30.17,43.60,0.00
NORTH DELHI,2024-04-26,30.94,46.00,0.00
NORTH DELHI,2024-04-27,30.72,44.10,0.30
NORTH DELHI,2024-04-28,29.44,46.70,0.00
NORTH DELHI,2024-04-29,30.28,41.90,0.00
NORTH DELHI,2024-04-30,29.67,34.60,0.00
NORTH DELHI,2024-05-01,27.22,30.00,0.00
NORTH DELHI,2024-05-02,27.56,36.40,0.00
NORTH DELHI,2024-05-03,29.44,36.00,0.00
NORTH DELHI,2024-05-04,31.39,39.50,0.00
NORTH DELHI,2024-05-05,32.39,36.30,0.00
NORTH DELHI,2024-05-06,32.44,42.80,0.00
NORTH DELHI,2024-05-07,33.50,49.50,0.00
NORTH DELHI,2024-05-08,32.28,55.30,0.00
NORTH DELHI,2024-05-09,31.94,53.80,0.00
NORTH DELHI,2024-05-10,32.50,53.00,0.00
NORTH DELHI,2024-05-11,31.11,55.10,0.05
NORTH DELHI,2024-05-12,32.56,49.40,0.00
NORTH DELHI,2024-05-13,32.17,48.40,0.00
NORTH DELHI,2024-05-14,32.00,43.10,0.00
NORTH DELHI,2024-05-15,32.39,45.10,0.00
NORTH DELHI,2024-05-16,33.33,46.80,0.00
NORTH DELHI,2024-05-17,34.89,42.10,0.00
NORTH DELHI,2024-05-18,35.50,40.10,0.00
NORTH DELHI,2024-05-19,37.00,33.80,0.00
NORTH DELHI,2024-05-20,36.33,38.60,0.00
NORTH DELHI,2024-05-21,35.28,50.10,0.00
NORTH DELHI,2024-05-22,36.11,50.50,0.00
NORTH DELHI,2024-05-23,35.28,51.00,0.00
NORTH DELHI,2024-05-24,35.00,50.40,0.00
NORTH DELHI,2024-05-25,35.89,45.00,0.00
NORTH DELHI,2024-05-26,36.67,41.40,0.00
NORTH DELHI,2024-05-27,36.44,43.00,0.00
NORTH DELHI,2024-05-28,37.17,38.40,0.00
NORTH DELHI,2024-05-29,37.00,40.00,0.00
NORTH DELHI,2024-05-30,37.83,32.90,0.00
NORTH DELHI,2024-05-31,37.72,35.90,0.00
NORTH DELHI,2024-06-01,36.17,36.60,0.00
NORTH DELHI,2024-06-02,36.83,36.90,0.00
NORTH DELHI,2024-06-03,36.67,39.80,0.00
NORTH DELHI,2024-06-04,36.00,43.10,0.00
NORTH DELHI,2024-06-05,36.17,41.60,0.00
NORTH DELHI,2024-06-06,33.33,48.00,0.10
NORTH DELHI,2024-06-07,35.83,37.00,0.00
NORTH DELHI,2024-06-08,35.56,36.30,0.00
NORTH DELHI,2024-06-09,34.72,36.60,0.00
NORTH DELHI,2024-06-10,36.33,35.60,0.00
NORTH DELHI,2024-06-11,35.44,38.90,0.00
NORTH DELHI,2024-06-12,36.11,38.30,0.00
NORTH DELHI,2024-06-13,38.61,29.10,0.00
NORTH DELHI,2024-06-14,37.78,33.80,0.00
NORTH DELHI,2024-06-15,38.33,33.60,0.00
NORTH DELHI,2024-06-16,38.50,35.60,0.00
NORTH DELHI,2024-06-17,39.06,36.80,0.00
NORTH DELHI,2024-06-18,34.72,55.00,0.00
NORTH DELHI,2023-03-01,22.44,62.60,0.00
NORTH DELHI,2023-03-02,23.06,61.60,0.00
NORTH DELHI,2023-03-03,24.17,60.90,0.00
NORTH DELHI,2023-03-04,22.11,63.50,0.00
NORTH DELHI,2023-03-05,23.11,62.60,0.00
NORTH DELHI,2023-03-06,23.00,60.90,0.00
NORTH DELHI,2023-03-07,23.28,57.10,0.00
NORTH DELHI,2023-03-08,22.67,62.80,0.00
NORTH DELHI,2023-03-09,22.83,64.90,0.00
NORTH DELHI,2023-03-10,23.61,62.60,0.00
NORTH DELHI,2023-03-11,24.17,54.00,0.00
NORTH DELHI,2023-03-12,24.11,59.90,0.00
NORTH DELHI,2023-03-13,24.72,64.00,0.00
NORTH DELHI,2023-03-14,25.50,59.60,0.00
NORTH DELHI,2023-03-15,25.72,57.50,0.00
NORTH DELHI,2023-03-16,25.61,54.60,0.00
NORTH DELHI,2023-03-17,24.17,61.00,0.00
NORTH DELHI,2023-03-18,20.50,84.50,0.20
NORTH DELHI,2023-03-19,21.39,83.10,0.00
NORTH DELHI,2023-03-20,20.06,81.30,0.10
NORTH DELHI,2023-03-21,19.94,82.50,0.99
NORTH DELHI,2023-03-22,21.94,71.90,0.00
NORTH DELHI,2023-03-23,23.61,63.60,0.00
NORTH DELHI,2023-03-24,21.67,80.80,0.00
NORTH DELHI,2023-03-25,23.28,73.60,1.19
NORTH DELHI,2023-03-26,23.67,62.50,0.00
NORTH DELHI,2023-03-27,23.06,62.50,0.00
NORTH DELHI,2023-03-28,23.39,64.00,0.00
NORTH DELHI,2023-03-29,24.39,68.00,0.00
NORTH DELHI,2023-03-30,22.44,76.40,0.89
NORTH DELHI,2023-03-31,21.44,80.30,1.60
NORTH DELHI,2023-04-01,21.33,78.80,0.00
NORTH DELHI,2023-04-02,23.11,72.60,0.30
NORTH DELHI,2023-04-03,24.44,66.30,0.00
NORTH DELHI,2023-04-04,23.83,68.10,1.60
NORTH DELHI,2023-04-05,23.83,59.90,0.00
NORTH DELHI,2023-04-06,24.61,52.40,0.00
NORTH DELHI,2023-04-07,26.11,45.10,0.00
NORTH DELHI,2023-04-08,25.61,45.80,0.00
NORTH DELHI,2023-04-09,25.61,50.00,0.00
NORTH DELHI,2023-04-10,25.78,49.50,0.00
NORTH DELHI,2023-04-11,28.33,43.40,0.00
NORTH DELHI,2023-04-12,28.61,49.00,0.00
NORTH DELHI,2023-04-13,28.61,48.00,0.00
NORTH DELHI,2023-04-14,29.61,42.60,0.00
NORTH DELHI,2023-04-15,31.89,38.90,0.00
