crop_area,crop_name,crop_id,avg_yield,avg_yield_area
0.5,MAIZE,2,3000,6000
1.5,Banana,67,2,1.333333333
1,Pomegranate,107,2675,2675
1,BEETROOT,117,6000,6000
0.15,BHENDI,118,500,3333.333333
0.18,BHENDI,118,780,4333.333333
0.25,BHENDI,118,415,1660
0.35,BHENDI,118,800,2285.714286
0.38,BHENDI,118,1038.333333,2732.45614
0.5,BHENDI,118,474,948
0.63,BHENDI,118,1040,1650.793651
0.75,BHENDI,118,6600,8800
1,BHENDI,118,4000,4000
0.35,BITTERGOURD,119,2800,8000
0.45,BITTERGOURD,119,415,922.2222222
0.75,BOTTLEGOURD,120,370,493.3333333
1.5,BOTTLEGOURD,120,300000,200000
0.25,BRINJAL,121,1468,5872
0.5,BRINJAL,121,2856.666666,5713.333333
0.75,BRINJAL,121,280,373.3333333
1,BRINJAL,121,93833.33333,93833.33333
0.08,CABBAGE,125,3000,37500
0.5,CABBAGE,125,8000,16000
0.6,CABBAGE,125,100,166.6666667
1,CABBAGE,125,14288,14288
0.25,CAULIFLOWER,128,1200,4800
0.5,CAULIFLOWER,128,22,44
0.65,CAULIFLOWER,128,100,153.8461538
0.18,GREEN CHILLI,133,580,3222.222222
0.25,GREEN CHILLI,133,640,2560
0.3,GREEN CHILLI,133,1,3.333333333
0.37,GREEN CHILLI,133,476,1286.486486
0.38,GREEN CHILLI,133,440,1157.894737
0.5,GREEN CHILLI,133,1470,2940
1.5,Green Chilli,133,2,1.333333333
0.38,CLUSTER BEAN,137,750,1973.684211
0.2,CUCUMBER,140,33025,165125
0.25,CUCUMBER,140,1375,5500
0.63,CUCUMBER,140,330,523.8095238
1,COFFEE – Robusta,142,2400,2400
0.38,FRENCH BEAN (Bush Type),143,300,789.4736842
0.25,LABLAB (Bush Type),146,600,2400
0.5,LABLAB (Bush Type),146,650,1300
0.25,RIDGE GOURD,158,50,200
0.25,TOMATO,163,2000,8000
0.5,TOMATO,163,1254,2508
1,TOMATO,163,11975,11975
1,Coriander – Leaf,172,18000,18000
1.25,Coriander – Leaf,172,9000,7200
1,BLACK PEPPER,180,1500,1500
1,TURMERIC,182,3100,3100
1,COFFEE – Arabica,189,1525,1525
1,SUGARCANE - Early,209,30000,30000
0.25,FRENCH BEAN (Pole Type),227,3250,13000
0.5,FRENCH BEAN (Pole Type),227,1650,3300
0.25,GROUNDNUT,228,1050,4200
0.38,LABLAB (Pole Type),229,100,263.1578947
0.5,LABLAB (Pole Type),229,1100,2200
4,BANANA (G9),301,72000,18000
5,BANANA (G9),301,148000,29600
3,BANANA (Nendran),302,24000,8000
1.5,BANANA (Njalipoovan),305,500,333.3333333
0.5,CABBAGE (BM1),351,10000,20000
0.75,CABBAGE (BM1),351,15,20
1,CABBAGE (BM1),351,15700,15700
0.25,CAULIFLOWER (BM1),352,4000,16000
0.5,CAULIFLOWER (BM1),352,16000,32000
0.75,CAULIFLOWER (BM1),352,9000,12000
0.3,BRINJAL (BM1),353,1800,6000
0.75,BRINJAL (BM1),353,6000,8000
